Day,Treatment,Replicate,Length,Width
13,axenic,1,29.26,2.37
13,axenic,1,26.60,2.00
13,axenic,1,24.90,2.64
13,axenic,1,23.27,2.11
13,axenic,1,24.40,2.55
13,axenic,1,25.98,2.05
13,axenic,1,27.42,1.75
13,axenic,1,23.72,2.42
13,axenic,1,25.64,2.54
13,axenic,1,29.50,2.30
13,axenic,1,20.81,2.22
13,axenic,1,25.42,2.47
13,axenic,1,19.32,2.12
13,axenic,1,25.16,2.69
13,axenic,1,18.69,2.31
13,axenic,1,26.91,2.25
13,axenic,1,19.92,2.63
13,axenic,2,24.30,2.55
13,axenic,2,27.09,2.39
13,axenic,2,25.04,2.47
13,axenic,2,24.52,2.36
13,axenic,2,22.47,2.07
13,axenic,2,25.17,2.63
13,axenic,2,18.89,2.48
13,axenic,2,31.70,2.36
13,axenic,2,23.20,2.75
13,axenic,2,28.82,2.38
13,axenic,2,27.36,2.49
13,axenic,2,27.11,3.00
13,axenic,2,26.41,2.36
13,axenic,2,23.17,2.17
13,axenic,2,25.12,2.28
13,axenic,2,20.97,1.88
13,axenic,2,28.01,2.68
13,axenic,2,27.29,2.55
13,axenic,2,21.47,2.37
13,axenic,2,23.08,2.37
13,axenic,2,29.04,2.27
13,axenic,2,26.20,2.46
13,axenic,2,23.89,2.51
13,axenic,2,27.27,2.23
13,axenic,2,26.40,2.21
13,axenic,2,31.64,2.55
13,axenic,2,26.55,2.27
13,axenic,2,23.12,2.30
13,axenic,2,25.37,2.33
13,axenic,2,27.57,2.90
13,axenic,2,29.52,1.74
13,axenic,2,29.25,1.95
13,axenic,2,27.82,2.90
13,axenic,2,25.55,2.70
13,axenic,2,31.42,4.80
13,axenic,2,30.71,3.23
13,axenic,2,23.70,2.95
13,axenic,2,28.35,3.04
13,axenic,2,26.79,3.30
13,axenic,2,21.72,2.20
13,axenic,3,27.47,2.63
13,axenic,3,30.99,2.29
13,axenic,3,20.96,2.69
13,axenic,3,22.43,2.28
13,axenic,3,23.36,2.09
13,axenic,3,26.86,2.81
13,axenic,3,17.98,2.25
13,axenic,3,31.25,1.90
13,axenic,3,21.83,2.14
13,axenic,3,25.99,2.29
13,axenic,3,29.13,2.47
13,axenic,3,22.67,2.98
13,axenic,3,29.52,2.42
13,axenic,3,25.24,3.74
13,axenic,3,23.92,2.41
13,axenic,3,23.60,2.28
13,axenic,3,30.74,2.02
13,axenic,3,26.71,2.33
13,axenic,3,26.85,2.51
13,axenic,3,30.77,2.43
13,axenic,3,28.04,2.55
13,axenic,3,27.99,2.32
13,axenic,3,31.00,2.65
13,axenic,3,25.56,1.86
13,axenic,3,26.84,2.47
13,axenic,3,27.53,1.87
13,axenic,3,27.75,2.47
13,axenic,3,22.33,2.04
13,axenic,3,23.42,2.80
13,axenic,3,25.87,2.83
13,axenic,3,32.28,2.59
13,axenic,3,31.23,3.06
13,co_marino,1,25.59,2.34
13,co_marino,1,26.83,2.86
13,co_marino,1,25.94,2.12
13,co_marino,1,21.53,2.25
13,co_marino,1,28.62,2.90
13,co_marino,1,26.73,2.31
13,co_marino,1,27.69,2.85
13,co_marino,1,20.62,2.35
13,co_marino,1,22.85,2.32
13,co_marino,1,25.39,2.11
13,co_marino,1,27.48,2.11
13,co_marino,1,23.94,2.46
13,co_marino,1,30.09,2.55
13,co_marino,1,21.87,2.36
13,co_marino,1,25.91,2.16
13,co_marino,1,25.61,1.92
13,co_marino,1,29.19,2.73
13,co_marino,1,26.07,2.47
13,co_marino,1,27.28,2.90
13,co_marino,1,20.91,2.55
13,co_marino,1,23.71,2.28
13,co_marino,1,22.74,2.21
13,co_marino,1,16.38,2.02
13,co_marino,1,22.36,2.58
13,co_marino,1,24.19,2.25
13,co_marino,1,24.79,3.00
13,co_marino,1,25.29,2.74
13,co_marino,1,27.71,2.68
13,co_marino,1,27.40,2.21
13,co_marino,1,30.42,2.31
13,co_marino,1,24.56,1.92
13,co_marino,1,25.14,2.94
13,co_marino,1,26.34,3.30
13,co_marino,2,21.43,2.30
13,co_marino,2,25.39,2.20
13,co_marino,2,28.18,2.99
13,co_marino,2,25.17,2.67
13,co_marino,2,26.67,2.78
13,co_marino,2,24.44,2.43
13,co_marino,2,27.08,2.42
13,co_marino,2,26.49,2.55
13,co_marino,2,21.49,2.38
13,co_marino,2,24.86,2.70
13,co_marino,2,28.30,2.67
13,co_marino,2,23.11,2.60
13,co_marino,2,23.21,2.47
13,co_marino,2,32.42,2.51
13,co_marino,2,29.53,2.64
13,co_marino,2,22.39,2.09
13,co_marino,2,22.46,2.23
13,co_marino,2,23.14,2.21
13,co_marino,2,25.68,2.22
13,co_marino,2,23.11,2.42
13,co_marino,2,24.51,2.72
13,co_marino,2,21.98,2.36
13,co_marino,2,27.23,2.36
13,co_marino,2,27.83,3.10
13,co_marino,2,28.50,2.13
13,co_marino,2,24.85,2.30
13,co_marino,2,24.63,2.23
13,co_marino,2,19.56,2.16
13,co_marino,2,24.70,2.08
13,co_marino,2,24.19,2.36
13,co_marino,2,15.03,2.12
13,co_marino,2,21.81,2.68
13,co_marino,2,27.65,2.34
13,co_marino,2,22.74,1.95
13,co_marino,2,22.70,2.36
13,co_marino,3,29.82,2.85
13,co_marino,3,33.28,2.59
13,co_marino,3,22.83,2.29
13,co_marino,3,26.87,2.86
13,co_marino,3,41.91,3.52
13,co_marino,3,26.08,2.02
13,co_marino,3,23.94,2.51
13,co_marino,3,26.53,2.91
13,co_marino,3,35.68,2.51
13,co_marino,3,25.76,2.71
13,co_marino,3,22.51,1.92
13,co_marino,3,25.81,2.16
13,co_marino,3,28.23,2.55
13,co_marino,3,20.83,2.87
13,co_marino,3,29.01,3.24
13,co_marino,3,32.12,2.68
13,co_marino,3,24.15,2.16
13,co_marino,3,21.09,2.84
13,co_marino,3,24.02,2.44
13,co_marino,3,27.47,2.68
13,co_marino,3,26.01,2.14
13,co_marino,3,19.61,2.02
13,co_marino,3,26.37,2.97
13,co_marino,3,28.59,2.41
13,co_marino,3,25.96,2.12
13,co_marino,3,26.67,2.41
13,co_marino,3,27.59,2.21
13,co_marino,3,26.02,2.28
13,co_marino,3,22.07,2.33
13,co_marino,3,26.38,2.30
13,co_marino,3,32.41,2.47
13,co_marino,3,26.58,2.25
13,co_marino,3,26.20,2.51
13,co_marino,3,27.26,2.72
13,co_marino,3,26.98,3.38
13,co_marino,3,30.80,2.48
13,co_marino,3,21.05,2.64
